team,visitor,tscore,vscore,gamespread,shorthome,shortvis,attendance
Golden State Warriors,Washington Wizards,135,126,9,Warriors,Wizards,0
Milwaukee Bucks,Boston Celtics,131,125,6,Bucks,Celtics,0
Toronto Raptors,Orlando Magic,123,113,10,Raptors,Magic,0
Phoenix Suns,Sacramento Kings,120,109,11,Suns,Kings,0
Portland Trail Blazers,Washington Wizards,101,126,-25,Blazers,Wizards,0
LA Clippers,Golden State Warriors,134,124,10,Clippers,Warriors,0
Indiana Pacers,Chicago Bulls,117,113,4,Pacers,Bulls,0
Charlotte Hornets,San Antonio Spurs,120,110,10,Hornets,Spurs,0
Atlanta Hawks,New York Knicks,101,122,-21,Hawks,Knicks,0
Brooklyn Nets,Miami Heat,116,105,11,Nets,Heat,0
Boston Celtics,Detroit Pistons,127,109,18,Celtics,Pistons,0
Philadelphia 76ers,Cleveland Cavaliers,118,112,6,76ers,Cavaliers,0
Oklahoma City Thunder,Houston Rockets,133,96,37,Thunder,Rockets,0
Memphis Grizzlies,Utah Jazz,117,111,6,Grizzlies,Jazz,0
Denver Nuggets,Dallas Mavericks,118,109,9,Nuggets,Mavericks,0
Los Angeles Lakers,New Orleans Pelicans,120,102,18,Lakers,Pelicans,0
Chicago Bulls,Milwaukee Bucks,100,112,-12,Bulls,Bucks,0
Minnesota Timberwolves,Washington Wizards,106,114,-8,Timberwolves,Wizards,0
Phoenix Suns,LA Clippers,107,116,-9,Suns,Clippers,0
Orlando Magic,Detroit Pistons,108,106,2,Magic,Pistons,0
Cleveland Cavaliers,Denver Nuggets,109,115,-6,Cavaliers,Nuggets,0
Philadelphia 76ers,Memphis Grizzlies,110,105,5,76ers,Grizzlies,0
Toronto Raptors,New Orleans Pelicans,115,110,5,Raptors,Pelicans,0
Dallas Mavericks,San Antonio Spurs,142,116,26,Mavericks,Spurs,0
Utah Jazz,Oklahoma City Thunder,120,119,1,Jazz,Thunder,0
Los Angeles Lakers,Golden State Warriors,124,111,13,Lakers,Warriors,0
Sacramento Kings,Portland Trail Blazers,133,116,17,Kings,Blazers,0
Washington Wizards,New York Knicks,109,115,-6,Wizards,Knicks,0
Milwaukee Bucks,Miami Heat,128,99,29,Bucks,Heat,0
Atlanta Hawks,Cleveland Cavaliers,136,119,17,Hawks,Cavaliers,0
Chicago Bulls,Brooklyn Nets,131,87,44,Bulls,Nets,0
Minnesota Timberwolves,Charlotte Hornets,113,121,-8,Timberwolves,Hornets,0
Golden State Warriors,Houston Rockets,116,101,15,Warriors,Rockets,0
Phoenix Suns,Oklahoma City Thunder,124,115,9,Suns,Thunder,0
LA Clippers,Sacramento Kings,175,176,-1,Clippers,Kings,0
Detroit Pistons,Toronto Raptors,91,95,-4,Pistons,Raptors,0
Orlando Magic,Indiana Pacers,108,121,-13,Magic,Pacers,0
Charlotte Hornets,Miami Heat,108,103,5,Hornets,Heat,0
New York Knicks,New Orleans Pelicans,128,106,22,Knicks,Pelicans,0
Memphis Grizzlies,Denver Nuggets,112,94,18,Grizzlies,Nuggets,0
Philadelphia 76ers,Boston Celtics,107,110,-3,76ers,Celtics,0
Utah Jazz,San Antonio Spurs,118,102,16,Jazz,Spurs,0
Milwaukee Bucks,Phoenix Suns,104,101,3,Bucks,Suns,0
Atlanta Hawks,Brooklyn Nets,129,127,2,Hawks,Nets,0
Dallas Mavericks,Los Angeles Lakers,108,111,-3,Mavericks,Lakers,0
Chicago Bulls,Washington Wizards,102,82,20,Bulls,Wizards,0
Cleveland Cavaliers,Toronto Raptors,118,93,25,Cavaliers,Raptors,0
Oklahoma City Thunder,Sacramento Kings,115,124,-9,Thunder,Kings,0
Golden State Warriors,Minnesota Timberwolves,109,104,5,Warriors,Timberwolves,0
Portland Trail Blazers,Houston Rockets,131,114,17,Blazers,Rockets,0
Denver Nuggets,LA Clippers,134,124,10,Nuggets,Clippers,0
Charlotte Hornets,Detroit Pistons,117,106,11,Hornets,Pistons,0
Philadelphia 76ers,Miami Heat,99,101,-2,76ers,Heat,0
New York Knicks,Boston Celtics,109,94,15,Knicks,Celtics,0
New Orleans Pelicans,Orlando Magic,93,101,-8,Pelicans,Magic,0
Toronto Raptors,Chicago Bulls,104,98,6,Raptors,Bulls,0
Atlanta Hawks,Washington Wizards,116,119,-3,Hawks,Wizards,0
Brooklyn Nets,Milwaukee Bucks,104,118,-14,Nets,Bucks,0
