team,visitor,tscore,vscore,gamespread,shorthome,shortvis,attendance
Cleveland Cavaliers,Maccabi Ra'anana,120,89,31,Cavaliers,Ra'anana,0
Indiana Pacers,Atlanta Hawks,116,112,4,Pacers,Hawks,0
Brooklyn Nets,Philadelphia 76ers,119,127,-8,Nets,76ers,0
San Antonio Spurs,Houston Rockets,89,99,-10,Spurs,Rockets,0
Utah Jazz,New Zealand Breakers,114,94,20,Jazz,Breakers,0
Phoenix Suns,Portland Trail Blazers,117,106,11,Suns,Blazers,0
Orlando Magic,New Orleans Pelicans,92,104,-12,Magic,Pelicans,0
Boston Celtics,New York Knicks,123,110,13,Celtics,Knicks,0
Oklahoma City Thunder,Milwaukee Bucks,124,101,23,Thunder,Bucks,0
Chicago Bulls,Toronto Raptors,102,106,-4,Bulls,Raptors,0
Minnesota Timberwolves,Maccabi Ra'anana,138,111,27,Timberwolves,Ra'anana,0
LA Clippers,Denver Nuggets,116,103,13,Clippers,Nuggets,0
New York Knicks,Washington Wizards,106,131,-25,Knicks,Wizards,0
Miami Heat,Brooklyn Nets,104,107,-3,Heat,Nets,0
San Antonio Spurs,Houston Rockets,117,103,14,Spurs,Rockets,0
Golden State Warriors,Sacramento Kings,116,115,1,Warriors,Kings,0
Charlotte Hornets,Boston Celtics,99,127,-28,Hornets,Celtics,0
Chicago Bulls,Minnesota Timberwolves,105,114,-9,Bulls,Timberwolves,0
Oklahoma City Thunder,Detroit Pistons,116,118,-2,Thunder,Pistons,0
Los Angeles Lakers,Phoenix Suns,100,123,-23,Lakers,Suns,0
Sacramento Kings,Utah Jazz,116,113,3,Kings,Jazz,0
LA Clippers,Denver Nuggets,90,103,-13,Clippers,Nuggets,0
Orlando Magic,Flamengo Flamengo,109,76,33,Magic,Flamengo,0
Philadelphia 76ers,Atlanta Hawks,120,106,14,76ers,Hawks,0
Indiana Pacers,Cleveland Cavaliers,109,104,5,Pacers,Cavaliers,0
Toronto Raptors,Washington Wizards,134,98,36,Raptors,Wizards,0
Dallas Mavericks,Detroit Pistons,114,104,10,Mavericks,Pistons,0
Milwaukee Bucks,Memphis Grizzlies,124,116,8,Bucks,Grizzlies,0
Houston Rockets,Miami Heat,110,104,6,Rockets,Heat,0
Golden State Warriors,San Antonio Spurs,117,122,-5,Warriors,Spurs,0
Denver Nuggets,Los Angeles Lakers,119,107,12,Nuggets,Lakers,0
Golden State Warriors,Phoenix Suns,104,108,-4,Warriors,Suns,0
Charlotte Hornets,Atlanta Hawks,116,110,6,Hornets,Hawks,0
Indiana Pacers,Washington Wizards,143,120,23,Pacers,Wizards,0
New York Knicks,Boston Celtics,104,108,-4,Knicks,Celtics,0
Orlando Magic,Houston Rockets,116,86,30,Magic,Rockets,0
Toronto Raptors,Minnesota Timberwolves,97,94,3,Raptors,Timberwolves,0
Miami Heat,Detroit Pistons,103,102,1,Heat,Pistons,0
Brooklyn Nets,Cleveland Cavaliers,113,114,-1,Nets,Cavaliers,0
Memphis Grizzlies,New Orleans Pelicans,104,111,-7,Grizzlies,Pelicans,0
Chicago Bulls,Oklahoma City Thunder,104,124,-20,Bulls,Thunder,0
Utah Jazz,Sacramento Kings,114,130,-16,Jazz,Kings,0
San Antonio Spurs,Dallas Mavericks,119,126,-7,Spurs,Mavericks,0
LA Clippers,Portland Trail Blazers,123,111,12,Clippers,Blazers,0
Milwaukee Bucks,Philadelphia 76ers,118,117,1,Bucks,76ers,0
Los Angeles Lakers,Phoenix Suns,100,95,5,Lakers,Suns,0
Memphis Grizzlies,Denver Nuggets,104,108,-4,Grizzlies,Nuggets,0
Charlotte Hornets,Detroit Pistons,99,111,-12,Hornets,Pistons,0
Atlanta Hawks,New York Knicks,120,126,-6,Hawks,Knicks,0
Boston Celtics,Miami Heat,119,111,8,Celtics,Heat,0
Cleveland Cavaliers,Oklahoma City Thunder,105,108,-3,Cavaliers,Thunder,0
San Antonio Spurs,Houston Rockets,126,122,4,Spurs,Rockets,0
Chicago Bulls,Toronto Raptors,104,103,1,Bulls,Raptors,0
Dallas Mavericks,Brooklyn Nets,125,120,5,Mavericks,Nets,0
Utah Jazz,LA Clippers,120,118,2,Jazz,Clippers,0
Portland Trail Blazers,Orlando Magic,97,102,-5,Blazers,Magic,0
Sacramento Kings,Golden State Warriors,114,122,-8,Kings,Warriors,0
New Orleans Pelicans,New York Knicks,96,87,9,Pelicans,Knicks,0
Detroit Pistons,Chicago Bulls,118,102,16,Pistons,Bulls,0
Washington Wizards,Memphis Grizzlies,113,106,7,Wizards,Grizzlies,0
Cleveland Cavaliers,Indiana Pacers,113,125,-12,Cavaliers,Pacers,0
Toronto Raptors,Philadelphia 76ers,107,114,-7,Raptors,76ers,0
Minnesota Timberwolves,Miami Heat,106,90,16,Timberwolves,Heat,0
Phoenix Suns,Utah Jazz,126,104,22,Suns,Jazz,0
Oklahoma City Thunder,Denver Nuggets,95,128,-33,Thunder,Nuggets,0
Milwaukee Bucks,Atlanta Hawks,110,127,-17,Bucks,Hawks,0
Houston Rockets,Golden State Warriors,95,106,-11,Rockets,Warriors,0
Philadelphia 76ers,Portland Trail Blazers,126,98,28,76ers,Blazers,0
Sacramento Kings,Los Angeles Lakers,132,127,5,Kings,Lakers,0
LA Clippers,San Antonio Spurs,123,83,40,Clippers,Spurs,0
Washington Wizards,Boston Celtics,107,126,-19,Wizards,Celtics,0
Indiana Pacers,Chicago Bulls,105,112,-7,Pacers,Bulls,0
Charlotte Hornets,Brooklyn Nets,121,133,-12,Hornets,Nets,0
Toronto Raptors,Portland Trail Blazers,91,99,-8,Raptors,Blazers,0
Atlanta Hawks,Minnesota Timberwolves,127,113,14,Hawks,Timberwolves,0
Oklahoma City Thunder,Detroit Pistons,124,112,12,Thunder,Pistons,0
Memphis Grizzlies,Dallas Mavericks,110,125,-15,Grizzlies,Mavericks,0
New Orleans Pelicans,Golden State Warriors,102,130,-28,Pelicans,Warriors,0
Milwaukee Bucks,Miami Heat,122,114,8,Bucks,Heat,0
Denver Nuggets,Utah Jazz,110,102,8,Nuggets,Jazz,0
Los Angeles Lakers,Orlando Magic,106,103,3,Lakers,Magic,0
Cleveland Cavaliers,New York Knicks,91,109,-18,Cavaliers,Knicks,0
Phoenix Suns,San Antonio Spurs,114,115,-1,Suns,Spurs,0
LA Clippers,Orlando Magic,118,102,16,Clippers,Magic,0
Toronto Raptors,Milwaukee Bucks,130,111,19,Raptors,Bucks,0
Detroit Pistons,Portland Trail Blazers,101,110,-9,Pistons,Blazers,0
Oklahoma City Thunder,New Orleans Pelicans,106,110,-4,Thunder,Pelicans,0
Boston Celtics,Indiana Pacers,155,104,51,Celtics,Pacers,0
New York Knicks,Cleveland Cavaliers,89,95,-6,Knicks,Cavaliers,0
Miami Heat,Brooklyn Nets,105,109,-4,Heat,Nets,0
Atlanta Hawks,Washington Wizards,130,121,9,Hawks,Wizards,0
Minnesota Timberwolves,Denver Nuggets,110,89,21,Timberwolves,Nuggets,0
Houston Rockets,Charlotte Hornets,128,119,9,Rockets,Hornets,0
Dallas Mavericks,Chicago Bulls,114,105,9,Mavericks,Bulls,0
Utah Jazz,Memphis Grizzlies,133,109,24,Jazz,Grizzlies,0
Los Angeles Lakers,LA Clippers,130,125,5,Lakers,Clippers,0
Golden State Warriors,Sacramento Kings,102,101,1,Warriors,Kings,0
Philadelphia 76ers,Toronto Raptors,114,99,15,76ers,Raptors,0
New Orleans Pelicans,Detroit Pistons,125,116,9,Pelicans,Pistons,0
Utah Jazz,Orlando Magic,113,115,-2,Jazz,Magic,0
Phoenix Suns,San Antonio Spurs,121,132,-11,Suns,Spurs,0
Indiana Pacers,Cleveland Cavaliers,121,116,5,Pacers,Cavaliers,0
Milwaukee Bucks,New York Knicks,110,105,5,Bucks,Knicks,0
Oklahoma City Thunder,Golden State Warriors,139,141,-2,Thunder,Warriors,0
Miami Heat,Washington Wizards,121,114,7,Heat,Wizards,0
Chicago Bulls,Brooklyn Nets,107,109,-2,Bulls,Nets,0
Portland Trail Blazers,Memphis Grizzlies,115,113,2,Blazers,Grizzlies,0
Denver Nuggets,Dallas Mavericks,125,114,11,Nuggets,Mavericks,0
Philadelphia 76ers,Phoenix Suns,112,100,12,76ers,Suns,0
Indiana Pacers,Charlotte Hornets,124,125,-1,Pacers,Hornets,0
New Orleans Pelicans,Atlanta Hawks,105,123,-18,Pelicans,Hawks,0
Orlando Magic,Los Angeles Lakers,120,101,19,Magic,Lakers,0
Brooklyn Nets,Boston Celtics,114,124,-10,Nets,Celtics,0
Houston Rockets,Sacramento Kings,107,89,18,Rockets,Kings,0
Minnesota Timberwolves,Utah Jazz,123,95,28,Timberwolves,Jazz,0
Denver Nuggets,Chicago Bulls,123,101,22,Nuggets,Bulls,0
Detroit Pistons,Phoenix Suns,106,120,-14,Pistons,Suns,0
San Antonio Spurs,Toronto Raptors,116,123,-7,Spurs,Raptors,0
Cleveland Cavaliers,Golden State Warriors,115,104,11,Cavaliers,Warriors,0
Dallas Mavericks,Charlotte Hornets,124,118,6,Mavericks,Hornets,0
Portland Trail Blazers,Memphis Grizzlies,100,112,-12,Blazers,Grizzlies,0
Philadelphia 76ers,Washington Wizards,146,128,18,76ers,Wizards,0
Orlando Magic,Dallas Mavericks,102,117,-15,Magic,Mavericks,0
Indiana Pacers,San Antonio Spurs,152,111,41,Pacers,Spurs,0
Detroit Pistons,Golden State Warriors,109,120,-11,Pistons,Warriors,0
New York Knicks,LA Clippers,111,97,14,Knicks,Clippers,0
Miami Heat,Los Angeles Lakers,108,107,1,Heat,Lakers,0
Brooklyn Nets,Milwaukee Bucks,125,129,-4,Nets,Bucks,0
Houston Rockets,Sacramento Kings,122,97,25,Rockets,Kings,0
Minnesota Timberwolves,Boston Celtics,114,109,5,Timberwolves,Celtics,0
Oklahoma City Thunder,Atlanta Hawks,126,117,9,Thunder,Hawks,0
Chicago Bulls,Utah Jazz,130,113,17,Bulls,Jazz,0
Denver Nuggets,New Orleans Pelicans,134,116,18,Nuggets,Pelicans,0
Charlotte Hornets,Washington Wizards,116,132,-16,Hornets,Wizards,0
Philadelphia 76ers,Boston Celtics,106,103,3,76ers,Celtics,0
Indiana Pacers,Utah Jazz,134,118,16,Pacers,Jazz,0
New York Knicks,San Antonio Spurs,126,105,21,Knicks,Spurs,0
Brooklyn Nets,LA Clippers,100,93,7,Nets,Clippers,0
Minnesota Timberwolves,New Orleans Pelicans,122,101,21,Timberwolves,Pelicans,0
Houston Rockets,Los Angeles Lakers,128,94,34,Rockets,Lakers,0
Milwaukee Bucks,Detroit Pistons,120,118,2,Bucks,Pistons,0
Oklahoma City Thunder,Cleveland Cavaliers,128,120,8,Thunder,Cavaliers,0
Memphis Grizzlies,Miami Heat,102,108,-6,Grizzlies,Heat,0
Chicago Bulls,Phoenix Suns,115,116,-1,Bulls,Suns,0
Dallas Mavericks,Toronto Raptors,116,127,-11,Mavericks,Raptors,0
Denver Nuggets,Golden State Warriors,108,105,3,Nuggets,Warriors,0
Sacramento Kings,Portland Trail Blazers,121,118,3,Kings,Blazers,0
Indiana Pacers,Milwaukee Bucks,126,124,2,Pacers,Bucks,0
Orlando Magic,Atlanta Hawks,119,120,-1,Magic,Hawks,0
Washington Wizards,Charlotte Hornets,117,124,-7,Wizards,Hornets,0
Detroit Pistons,Philadelphia 76ers,106,114,-8,Pistons,76ers,0
Boston Celtics,Brooklyn Nets,121,107,14,Celtics,Nets,0
San Antonio Spurs,Minnesota Timberwolves,110,117,-7,Spurs,Timberwolves,0
Houston Rockets,New Orleans Pelicans,104,101,3,Rockets,Pelicans,0
Memphis Grizzlies,Utah Jazz,121,127,-6,Grizzlies,Jazz,0
Dallas Mavericks,LA Clippers,144,126,18,Mavericks,Clippers,0
Sacramento Kings,Oklahoma City Thunder,105,98,7,Kings,Thunder,0
Phoenix Suns,Los Angeles Lakers,119,122,-3,Suns,Lakers,0
Orlando Magic,Milwaukee Bucks,112,97,15,Magic,Bucks,0
Boston Celtics,Toronto Raptors,117,94,23,Celtics,Raptors,0
Atlanta Hawks,Miami Heat,109,117,-8,Hawks,Heat,0
Golden State Warriors,Cleveland Cavaliers,110,118,-8,Warriors,Cavaliers,0
New York Knicks,Charlotte Hornets,129,107,22,Knicks,Hornets,0
Brooklyn Nets,Washington Wizards,102,94,8,Nets,Wizards,0
LA Clippers,Memphis Grizzlies,101,105,-4,Clippers,Grizzlies,0
Philadelphia 76ers,Indiana Pacers,137,126,11,76ers,Pacers,0
Chicago Bulls,Detroit Pistons,119,108,11,Bulls,Pistons,0
New Orleans Pelicans,Dallas Mavericks,124,136,-12,Pelicans,Mavericks,0
Houston Rockets,Denver Nuggets,107,104,3,Rockets,Nuggets,0
San Antonio Spurs,Miami Heat,113,118,-5,Spurs,Heat,0
Phoenix Suns,Oklahoma City Thunder,99,111,-12,Suns,Thunder,0
Golden State Warriors,Minnesota Timberwolves,110,116,-6,Warriors,Timberwolves,0
Los Angeles Lakers,Portland Trail Blazers,116,110,6,Lakers,Blazers,0
Boston Celtics,New York Knicks,114,98,16,Celtics,Knicks,0
Toronto Raptors,Washington Wizards,111,107,4,Raptors,Wizards,0
Milwaukee Bucks,Chicago Bulls,118,109,9,Bucks,Bulls,0
Sacramento Kings,Cleveland Cavaliers,132,120,12,Kings,Cavaliers,0
Philadelphia 76ers,Indiana Pacers,126,132,-6,76ers,Pacers,0
Charlotte Hornets,Miami Heat,105,111,-6,Hornets,Heat,0
Detroit Pistons,Atlanta Hawks,120,126,-6,Pistons,Hawks,0
Oklahoma City Thunder,San Antonio Spurs,123,87,36,Thunder,Spurs,0
Brooklyn Nets,Orlando Magic,124,104,20,Nets,Magic,0
New Orleans Pelicans,Dallas Mavericks,131,110,21,Pelicans,Mavericks,0
Utah Jazz,Portland Trail Blazers,115,99,16,Jazz,Blazers,0
Denver Nuggets,LA Clippers,111,108,3,Nuggets,Clippers,0
Golden State Warriors,Minnesota Timberwolves,101,104,-3,Warriors,Timberwolves,0
Los Angeles Lakers,Memphis Grizzlies,134,107,27,Lakers,Grizzlies,0
Washington Wizards,Dallas Mavericks,117,130,-13,Wizards,Mavericks,0
Toronto Raptors,Milwaukee Bucks,112,128,-16,Raptors,Bucks,0
Philadelphia 76ers,Boston Celtics,107,117,-10,76ers,Celtics,0
Atlanta Hawks,New York Knicks,114,116,-2,Hawks,Knicks,0
Chicago Bulls,Orlando Magic,94,96,-2,Bulls,Magic,0
Phoenix Suns,Minnesota Timberwolves,133,115,18,Suns,Timberwolves,0
Los Angeles Lakers,Sacramento Kings,110,125,-15,Lakers,Kings,0
Portland Trail Blazers,Cleveland Cavaliers,95,109,-14,Blazers,Cavaliers,0
Miami Heat,Brooklyn Nets,122,115,7,Heat,Nets,0
Golden State Warriors,Oklahoma City Thunder,109,128,-19,Warriors,Thunder,0
Washington Wizards,New York Knicks,99,120,-21,Wizards,Knicks,0
Charlotte Hornets,Milwaukee Bucks,99,130,-31,Hornets,Bucks,0
Toronto Raptors,Boston Celtics,105,108,-3,Raptors,Celtics,0
Atlanta Hawks,Philadelphia 76ers,116,126,-10,Hawks,76ers,0
San Antonio Spurs,Sacramento Kings,120,129,-9,Spurs,Kings,0
Cleveland Cavaliers,Detroit Pistons,108,100,8,Cavaliers,Pistons,0
New Orleans Pelicans,Denver Nuggets,115,110,5,Pelicans,Nuggets,0
Chicago Bulls,Orlando Magic,97,103,-6,Bulls,Magic,0
Portland Trail Blazers,Los Angeles Lakers,95,107,-12,Blazers,Lakers,0
Utah Jazz,Phoenix Suns,128,131,-3,Jazz,Suns,0
LA Clippers,Houston Rockets,106,100,6,Clippers,Rockets,0
Charlotte Hornets,New York Knicks,108,122,-14,Hornets,Knicks,0
New Orleans Pelicans,Minnesota Timberwolves,120,121,-1,Pelicans,Timberwolves,0
Chicago Bulls,Miami Heat,102,97,5,Bulls,Heat,0
Milwaukee Bucks,Dallas Mavericks,132,125,7,Bucks,Mavericks,0
San Antonio Spurs,Memphis Grizzlies,108,120,-12,Spurs,Grizzlies,0
Golden State Warriors,Oklahoma City Thunder,123,130,-7,Warriors,Thunder,0
Brooklyn Nets,Philadelphia 76ers,99,121,-22,Nets,76ers,0
Toronto Raptors,Detroit Pistons,142,113,29,Raptors,Pistons,0
Indiana Pacers,Orlando Magic,116,128,-12,Pacers,Magic,0
Cleveland Cavaliers,Denver Nuggets,121,109,12,Cavaliers,Nuggets,0
Dallas Mavericks,Sacramento Kings,113,129,-16,Mavericks,Kings,0
Utah Jazz,Phoenix Suns,137,140,-3,Jazz,Suns,0
Memphis Grizzlies,Boston Celtics,100,102,-2,Grizzlies,Celtics,0
Portland Trail Blazers,Oklahoma City Thunder,91,134,-43,Blazers,Thunder,0
Los Angeles Lakers,Houston Rockets,105,104,1,Lakers,Rockets,0
Detroit Pistons,Denver Nuggets,103,107,-4,Pistons,Nuggets,0
Charlotte Hornets,Boston Celtics,121,118,3,Hornets,Celtics,0
Washington Wizards,Milwaukee Bucks,129,142,-13,Wizards,Bucks,0
Minnesota Timberwolves,New York Knicks,117,100,17,Timberwolves,Knicks,0
San Antonio Spurs,LA Clippers,99,124,-25,Spurs,Clippers,0
New Orleans Pelicans,Sacramento Kings,129,93,36,Pelicans,Kings,0
Chicago Bulls,Miami Heat,100,118,-18,Bulls,Heat,0
Golden State Warriors,Houston Rockets,121,116,5,Warriors,Rockets,0
Orlando Magic,Toronto Raptors,126,107,19,Magic,Raptors,0
Philadelphia 76ers,Cleveland Cavaliers,119,122,-3,76ers,Cavaliers,0
Atlanta Hawks,Indiana Pacers,152,157,-5,Hawks,Pacers,0
Phoenix Suns,Portland Trail Blazers,120,107,13,Suns,Blazers,0
Los Angeles Lakers,Utah Jazz,131,99,32,Lakers,Jazz,0
Charlotte Hornets,Washington Wizards,117,114,3,Hornets,Wizards,0
Orlando Magic,Denver Nuggets,124,119,5,Magic,Nuggets,0
Boston Celtics,Milwaukee Bucks,119,116,3,Celtics,Bucks,0
Cleveland Cavaliers,Miami Heat,96,129,-33,Cavaliers,Heat,0
Indiana Pacers,Toronto Raptors,131,132,-1,Pacers,Raptors,0
Atlanta Hawks,Brooklyn Nets,147,145,2,Hawks,Nets,0
Houston Rockets,Memphis Grizzlies,111,91,20,Rockets,Grizzlies,0
Minnesota Timberwolves,Philadelphia 76ers,112,99,13,Timberwolves,76ers,0
New Orleans Pelicans,Sacramento Kings,117,112,5,Pelicans,Kings,0
San Antonio Spurs,LA Clippers,102,109,-7,Spurs,Clippers,0
Oklahoma City Thunder,Chicago Bulls,116,102,14,Thunder,Bulls,0
Portland Trail Blazers,Utah Jazz,121,105,16,Blazers,Jazz,0
Phoenix Suns,Golden State Warriors,123,115,8,Suns,Warriors,0
Los Angeles Lakers,Dallas Mavericks,101,104,-3,Lakers,Mavericks,0
Orlando Magic,Boston Celtics,113,96,17,Magic,Celtics,0
Memphis Grizzlies,Phoenix Suns,89,110,-21,Grizzlies,Suns,0
New York Knicks,Miami Heat,100,98,2,Knicks,Heat,0
Toronto Raptors,Chicago Bulls,121,108,13,Raptors,Bulls,0
Indiana Pacers,Detroit Pistons,136,113,23,Pacers,Pistons,0
Minnesota Timberwolves,Sacramento Kings,111,124,-13,Timberwolves,Kings,0
Milwaukee Bucks,Washington Wizards,131,128,3,Bucks,Wizards,0
Houston Rockets,Denver Nuggets,105,86,19,Rockets,Nuggets,0
Golden State Warriors,San Antonio Spurs,118,112,6,Warriors,Spurs,0
LA Clippers,New Orleans Pelicans,106,116,-10,Clippers,Pelicans,0
Oklahoma City Thunder,Philadelphia 76ers,123,127,-4,Thunder,76ers,0
Brooklyn Nets,Miami Heat,112,97,15,Nets,Heat,0
Washington Wizards,Atlanta Hawks,108,136,-28,Wizards,Hawks,0
Cleveland Cavaliers,Los Angeles Lakers,115,121,-6,Cavaliers,Lakers,0
Utah Jazz,New Orleans Pelicans,105,100,5,Jazz,Pelicans,0
LA Clippers,Dallas Mavericks,107,88,19,Clippers,Mavericks,0
Milwaukee Bucks,Portland Trail Blazers,108,102,6,Bucks,Blazers,0
Memphis Grizzlies,Minnesota Timberwolves,97,119,-22,Grizzlies,Timberwolves,0
Orlando Magic,Charlotte Hornets,130,117,13,Magic,Hornets,0
New York Knicks,Phoenix Suns,113,116,-3,Knicks,Suns,0
Boston Celtics,Atlanta Hawks,113,103,10,Celtics,Hawks,0
Cleveland Cavaliers,Toronto Raptors,105,102,3,Cavaliers,Raptors,0
Brooklyn Nets,Chicago Bulls,118,109,9,Nets,Bulls,0
Denver Nuggets,San Antonio Spurs,132,120,12,Nuggets,Spurs,0
Detroit Pistons,Washington Wizards,107,126,-19,Pistons,Wizards,0
Philadelphia 76ers,Los Angeles Lakers,138,94,44,76ers,Lakers,0
Indiana Pacers,Portland Trail Blazers,110,114,-4,Pacers,Blazers,0
Utah Jazz,New Orleans Pelicans,114,112,2,Jazz,Pelicans,0
LA Clippers,Denver Nuggets,104,113,-9,Clippers,Nuggets,0
Brooklyn Nets,Toronto Raptors,115,103,12,Nets,Raptors,0
New York Knicks,Charlotte Hornets,115,91,24,Knicks,Hornets,0
Cleveland Cavaliers,Atlanta Hawks,128,105,23,Cavaliers,Hawks,0
Boston Celtics,Chicago Bulls,124,97,27,Celtics,Bulls,0
Miami Heat,Milwaukee Bucks,124,131,-7,Heat,Bucks,0
Minnesota Timberwolves,Oklahoma City Thunder,106,103,3,Timberwolves,Thunder,0
Dallas Mavericks,Houston Rockets,121,115,6,Mavericks,Rockets,0
Sacramento Kings,Golden State Warriors,124,123,1,Kings,Warriors,0
Detroit Pistons,Los Angeles Lakers,107,133,-26,Pistons,Lakers,0
Orlando Magic,Washington Wizards,139,120,19,Magic,Wizards,0
Toronto Raptors,Phoenix Suns,112,105,7,Raptors,Suns,0
Memphis Grizzlies,Utah Jazz,105,91,14,Grizzlies,Jazz,0
New Orleans Pelicans,Philadelphia 76ers,124,114,10,Pelicans,76ers,0
Denver Nuggets,Houston Rockets,134,124,10,Nuggets,Rockets,0
Sacramento Kings,LA Clippers,117,131,-14,Kings,Clippers,0
Cleveland Cavaliers,Portland Trail Blazers,95,103,-8,Cavaliers,Blazers,0
Brooklyn Nets,Charlotte Hornets,128,129,-1,Nets,Hornets,0
New York Knicks,Detroit Pistons,118,112,6,Knicks,Pistons,0
Miami Heat,Indiana Pacers,142,132,10,Heat,Pacers,0
Oklahoma City Thunder,Los Angeles Lakers,133,110,23,Thunder,Lakers,0
San Antonio Spurs,Atlanta Hawks,135,137,-2,Spurs,Hawks,0
Chicago Bulls,Milwaukee Bucks,120,113,7,Bulls,Bucks,0
Minnesota Timberwolves,Utah Jazz,101,90,11,Timberwolves,Jazz,0
Golden State Warriors,LA Clippers,120,114,6,Warriors,Clippers,0
Orlando Magic,Washington Wizards,130,125,5,Magic,Wizards,0
Toronto Raptors,New York Knicks,106,119,-13,Raptors,Knicks,0
Dallas Mavericks,Memphis Grizzlies,94,108,-14,Mavericks,Grizzlies,0
Boston Celtics,Philadelphia 76ers,125,119,6,Celtics,76ers,0
New Orleans Pelicans,San Antonio Spurs,121,106,15,Pelicans,Spurs,0
Phoenix Suns,Denver Nuggets,111,119,-8,Suns,Nuggets,0
LA Clippers,Golden State Warriors,113,112,1,Clippers,Warriors,0
Charlotte Hornets,Minnesota Timberwolves,117,123,-6,Hornets,Timberwolves,0
Brooklyn Nets,Orlando Magic,129,101,28,Nets,Magic,0
Detroit Pistons,Cleveland Cavaliers,101,110,-9,Pistons,Cavaliers,0
Chicago Bulls,New Orleans Pelicans,124,118,6,Bulls,Pelicans,0
Miami Heat,Indiana Pacers,129,144,-15,Heat,Pacers,0
Milwaukee Bucks,Atlanta Hawks,132,121,11,Bucks,Hawks,0
Phoenix Suns,Memphis Grizzlies,116,109,7,Suns,Grizzlies,0
Dallas Mavericks,Oklahoma City Thunder,120,126,-6,Mavericks,Thunder,0
Utah Jazz,Portland Trail Blazers,118,113,5,Jazz,Blazers,0
Sacramento Kings,Denver Nuggets,123,117,6,Kings,Nuggets,0
Los Angeles Lakers,Houston Rockets,107,97,10,Lakers,Rockets,0
Indiana Pacers,Boston Celtics,122,112,10,Pacers,Celtics,0
Sacramento Kings,New Orleans Pelicans,117,127,-10,Kings,Pelicans,0
Milwaukee Bucks,New York Knicks,146,122,24,Bucks,Knicks,0
Los Angeles Lakers,Phoenix Suns,106,103,3,Lakers,Suns,0
Washington Wizards,Philadelphia 76ers,126,131,-5,Wizards,76ers,0
Detroit Pistons,Memphis Grizzlies,102,116,-14,Pistons,Grizzlies,0
Cleveland Cavaliers,Orlando Magic,121,111,10,Cavaliers,Magic,0
Atlanta Hawks,Brooklyn Nets,113,114,-1,Hawks,Nets,0
Minnesota Timberwolves,San Antonio Spurs,102,94,8,Timberwolves,Spurs,0
Toronto Raptors,Miami Heat,103,112,-9,Raptors,Heat,0
Chicago Bulls,Charlotte Hornets,111,100,11,Bulls,Hornets,0
Houston Rockets,Oklahoma City Thunder,110,101,9,Rockets,Thunder,0
Dallas Mavericks,Utah Jazz,147,97,50,Mavericks,Jazz,0
LA Clippers,Denver Nuggets,111,102,9,Clippers,Nuggets,0
Golden State Warriors,Portland Trail Blazers,110,106,4,Warriors,Blazers,0
Milwaukee Bucks,Indiana Pacers,119,128,-9,Bucks,Pacers,0
Los Angeles Lakers,New Orleans Pelicans,133,89,44,Lakers,Pelicans,0
Charlotte Hornets,Toronto Raptors,119,116,3,Hornets,Raptors,0
Orlando Magic,Detroit Pistons,123,91,32,Magic,Pistons,0
Philadelphia 76ers,Atlanta Hawks,125,114,11,76ers,Hawks,0
Brooklyn Nets,Washington Wizards,124,97,27,Nets,Wizards,0
Boston Celtics,New York Knicks,133,123,10,Celtics,Knicks,0
Memphis Grizzlies,Minnesota Timberwolves,103,127,-24,Grizzlies,Timberwolves,0
Miami Heat,Cleveland Cavaliers,99,111,-12,Heat,Cavaliers,0
Oklahoma City Thunder,Golden State Warriors,138,136,2,Thunder,Warriors,0
San Antonio Spurs,Chicago Bulls,112,121,-9,Spurs,Bulls,0
Phoenix Suns,Sacramento Kings,106,114,-8,Suns,Kings,0
Denver Nuggets,Houston Rockets,106,114,-8,Nuggets,Rockets,0
Utah Jazz,LA Clippers,103,117,-14,Jazz,Clippers,0
Portland Trail Blazers,Dallas Mavericks,112,125,-13,Blazers,Mavericks,0
Los Angeles Lakers,Indiana Pacers,123,109,14,Lakers,Pacers,0
Detroit Pistons,Indiana Pacers,123,131,-8,Pistons,Pacers,0
Philadelphia 76ers,Washington Wizards,146,101,45,76ers,Wizards,0
Charlotte Hornets,Miami Heat,114,116,-2,Hornets,Heat,0
Orlando Magic,Cleveland Cavaliers,104,94,10,Magic,Cavaliers,0
New York Knicks,Toronto Raptors,136,130,6,Knicks,Raptors,0
Atlanta Hawks,Denver Nuggets,122,129,-7,Hawks,Nuggets,0
Milwaukee Bucks,Chicago Bulls,133,129,4,Bucks,Bulls,0
New Orleans Pelicans,Minnesota Timberwolves,121,107,14,Pelicans,Timberwolves,0
Houston Rockets,San Antonio Spurs,93,82,11,Rockets,Spurs,0
Memphis Grizzlies,Dallas Mavericks,113,120,-7,Grizzlies,Mavericks,0
Oklahoma City Thunder,Utah Jazz,134,120,14,Thunder,Jazz,0
Sacramento Kings,Brooklyn Nets,131,118,13,Kings,Nets,0
LA Clippers,Portland Trail Blazers,132,127,5,Clippers,Blazers,0
Dallas Mavericks,Los Angeles Lakers,127,125,2,Mavericks,Lakers,0
Boston Celtics,Cleveland Cavaliers,120,113,7,Celtics,Cavaliers,0
Chicago Bulls,Denver Nuggets,106,114,-8,Bulls,Nuggets,0
Phoenix Suns,Golden State Warriors,119,116,3,Suns,Warriors,0
LA Clippers,Sacramento Kings,119,99,20,Clippers,Kings,0
Detroit Pistons,Philadelphia 76ers,111,129,-18,Pistons,76ers,0
